"UI label","Full setting path","Scope","UI type","Backend type","Canonical backend field","Persistent file/store","Apply phase","Android support","Validation method","Current value","Default","Variants","Min","Max",Validation status
"PPU Decoder","Core@@PPU Decoder","Global + per-game","enum","enum","Core@@PPU Decoder","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","LLVM Recompiler (Legacy)","LLVM Recompiler (Legacy)","Interpreter (Legacy)|LLVM Recompiler (Legacy)|Interpreter","","",PASS-SCHEMA-READBACK
"PPU Threads","Core@@PPU Threads","Global + per-game","int","int","Core@@PPU Threads","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","2","2","","1","8",PASS-SCHEMA-READBACK
"PPU Debug","Core@@PPU Debug","Global + per-game","bool","bool","Core@@PPU Debug","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","","",PASS-SCHEMA-READBACK
"PPU Calling History","Core@@PPU Calling History","Global + per-game","bool","bool","Core@@PPU Calling History","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","","",PASS-SCHEMA-READBACK
"PPU LLVM Codegen Mode","Core@@PPU LLVM Codegen Mode","Global + per-game","enum","enum","Core@@PPU LLVM Codegen Mode","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","Aggressive","Aggressive","Less|Default|Aggressive","","",PASS-SCHEMA-READBACK
"Save LLVM logs","Core@@Save LLVM logs","Global + per-game","bool","bool","Core@@Save LLVM logs","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","","",PASS-SCHEMA-READBACK
"Use LLVM CPU","Core@@Use LLVM CPU","Global + per-game","hidden","string","Core@@Use LLVM CPU","config.yml / custom_configs/config_<TITLE_ID>.yml","UNSUPPORTED","hidden: unsupported JSON type","Pad2 tree audit; no generic editor","cortex-a34","","","","",UNSUPPORTED-HIDDEN
"Max LLVM Compile Threads","Core@@Max LLVM Compile Threads","Global + per-game","int","int","Core@@Max LLVM Compile Threads","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","0","0","","0","16",PASS-SCHEMA-READBACK
"PPU Foreground Compile Threads","Core@@PPU Foreground Compile Threads","Global + per-game","int","int","Core@@PPU Foreground Compile Threads","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","0","0","","0","32",PASS-SCHEMA-READBACK
"PPU LLVM Greedy Mode","Core@@PPU LLVM Greedy Mode","Global + per-game","bool","bool","Core@@PPU LLVM Greedy Mode","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","","",PASS-SCHEMA-READBACK
"LLVM Precompilation","Core@@LLVM Precompilation","Global + per-game","bool","bool","Core@@LLVM Precompilation","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","true","true","","","",PASS-SCHEMA-READBACK
"Thread Scheduler Mode","Core@@Thread Scheduler Mode","Global + per-game","enum","enum","Core@@Thread Scheduler Mode","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","Operating System","Operating System","Operating System|RPCS3 Scheduler|RPCS3 Alternative Scheduler","","",PASS-SCHEMA-READBACK
"Set DAZ and FTZ","Core@@Set DAZ and FTZ","Global + per-game","bool","bool","Core@@Set DAZ and FTZ","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","","",PASS-SCHEMA-READBACK
"SPU Decoder","Core@@SPU Decoder","Global + per-game","enum","enum","Core@@SPU Decoder","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","Recompiler (LLVM)","Recompiler (LLVM)","Interpreter (static)|Interpreter (dynamic)|Recompiler (ASMJIT)|Recompiler (LLVM)","","",PASS-SCHEMA-READBACK
"SPU Reservation Busy Waiting Percentage","Core@@SPU Reservation Busy Waiting Percentage","Global + per-game","uint","uint","Core@@SPU Reservation Busy Waiting Percentage","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","0","0","","0","100",PASS-SCHEMA-READBACK
"SPU GETLLAR Busy Waiting Percentage","Core@@SPU GETLLAR Busy Waiting Percentage","Global + per-game","uint","uint","Core@@SPU GETLLAR Busy Waiting Percentage","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","100","100","","0","100",PASS-SCHEMA-READBACK
